cohort_id	case_barcode	sample_barcode	project_short_name	date_added	build	gdc_file_uuid	gdc_case_uuid	platform	exp_strategy	data_category	data_type	data_format	cloud_storage_location	file_size_bytes	project	type	ntype
1	TCGA-02-0003	TCGA-02-0003-01A	TCGA-GBM	2019-02-27 12:41:43 UTC	hg38	aa5e2cfb-dd14-4998-95d7-4bdd51b2d685	df3c1d61-79c1-43e9-971a-8029497ffeab	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/aa5e2cfb-dd14-4998-95d7-4bdd51b2d685/C484.TCGA-02-0003-01A-01D-1490-08.4_gdc_realn.bam	24271209528	GBM	tumor	2
1	TCGA-02-0003	TCGA-02-0003-10A	TCGA-GBM	2019-02-27 12:41:43 UTC	hg38	423852d0-b0e6-4367-a17f-c5fa58745725	df3c1d61-79c1-43e9-971a-8029497ffeab	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/423852d0-b0e6-4367-a17f-c5fa58745725/C484.TCGA-02-0003-10A-01D-1490-08.4_gdc_realn.bam	20988631894	GBM	normal	2
1	TCGA-02-0033	TCGA-02-0033-01A	TCGA-GBM	2019-02-27 12:41:43 UTC	hg38	2f44ec1e-1bce-41f5-ab23-1500b55b029d	fc5ad666-d67a-4a5c-8e4e-1c8d099e9f85	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/2f44ec1e-1bce-41f5-ab23-1500b55b029d/C484.TCGA-02-0033-01A-01D-1490-08.4_gdc_realn.bam	20655454063	GBM	tumor	2
1	TCGA-02-0033	TCGA-02-0033-10A	TCGA-GBM	2019-02-27 12:41:43 UTC	hg38	6b419be7-b54b-4e2b-b350-bf0533e96741	fc5ad666-d67a-4a5c-8e4e-1c8d099e9f85	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/6b419be7-b54b-4e2b-b350-bf0533e96741/C484.TCGA-02-0033-10A-01D-1490-08.4_gdc_realn.bam	21353152238	GBM	normal	2
1	TCGA-02-0047	TCGA-02-0047-01A	TCGA-GBM	2019-02-27 12:41:43 UTC	hg38	4aa9e8c0-1342-4b05-a9f3-2b4e977d866b	3caf009f-d9e0-4c57-b1d9-8eb59fc833bd	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/4aa9e8c0-1342-4b05-a9f3-2b4e977d866b/C484.TCGA-02-0047-01A-01D-1490-08.4_gdc_realn.bam	21965599437	GBM	tumor	2
1	TCGA-02-0047	TCGA-02-0047-10A	TCGA-GBM	2019-02-27 12:41:43 UTC	hg38	63aff381-7497-4b1f-8c21-fdf76e730e8c	3caf009f-d9e0-4c57-b1d9-8eb59fc833bd	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/63aff381-7497-4b1f-8c21-fdf76e730e8c/C484.TCGA-02-0047-10A-01D-1490-08.4_gdc_realn.bam	18207118558	GBM	normal	2
1	TCGA-02-0055	TCGA-02-0055-01A	TCGA-GBM	2019-02-27 12:41:43 UTC	hg38	a69a0fc9-aaa3-443c-b4b1-1031ede6f47b	da5f6940-e8ee-4fd1-a8da-4cd68e02e59c	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/a69a0fc9-aaa3-443c-b4b1-1031ede6f47b/C484.TCGA-02-0055-01A-01D-1490-08.4_gdc_realn.bam	21720499687	GBM	tumor	2
1	TCGA-02-0055	TCGA-02-0055-10A	TCGA-GBM	2019-02-27 12:41:43 UTC	hg38	88d4d542-fb77-4b4d-9b01-60f48d78160d	da5f6940-e8ee-4fd1-a8da-4cd68e02e59c	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/88d4d542-fb77-4b4d-9b01-60f48d78160d/C484.TCGA-02-0055-10A-01D-1490-08.4_gdc_realn.bam	21195115594	GBM	normal	2
1	TCGA-02-2466	TCGA-02-2466-01A	TCGA-GBM	2019-02-27 12:41:43 UTC	hg38	00b7d61d-9169-4b17-899e-edc7a5cd7509	c4171de5-8dac-44bd-a6eb-174f9451dbb7	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/00b7d61d-9169-4b17-899e-edc7a5cd7509/C282.TCGA-02-2466-01A-01W-0837-08.3_gdc_realn.bam	15030040917	GBM	tumor	2
1	TCGA-02-2466	TCGA-02-2466-10A	TCGA-GBM	2019-02-27 12:41:43 UTC	hg38	4a10482d-3b03-4728-8f6e-64c57fcf1354	c4171de5-8dac-44bd-a6eb-174f9451dbb7	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/4a10482d-3b03-4728-8f6e-64c57fcf1354/C282.TCGA-02-2466-10A-01W-0837-08.3_gdc_realn.bam	17742656772	GBM	normal	2
