id	filename	md5	size	state
916e5115-af71-427d-82de-231ac023ce41	nationwidechildrens.org_clinical_patient_esca.txt	f43ecb0abec84a7e3193649a05aa9948	149361	released
16e4c1bf-981c-483f-8cbb-46050a8fdc74	nationwidechildrens.org_clinical_follow_up_v4.0_esca.txt	0fe37b0e4dc671e5df118d2852eb634d	34033	released
92be86dd-9f8c-4dfe-ba38-22cef2f6a9c7	nationwidechildrens.org_clinical_patient_paad.txt	346107fe4d819852f2cb131cccae8036	152822	released
f4aff87a-4a0a-4c8f-8ca2-c8a9dd044340	nationwidechildrens.org_clinical_follow_up_v4.4_paad.txt	1f65706b6cfb7818cb4137863407cd0d	46116	released
bbb2453e-3794-472b-a061-789513b36e61	nationwidechildrens.org_clinical_patient_pcpg.txt	2db233a2cde2fc5f8c704eceabe46eb3	75205	released
970ff5e4-d5ef-4f2e-9e5c-62d4f341b68f	nationwidechildrens.org_clinical_follow_up_v4.0_pcpg.txt	2187061f35a4c03044c85220c8442f70	31452	released
e086b524-696f-477c-87db-fa2a5ddb2a1c	nationwidechildrens.org_clinical_patient_tgct.txt	d95a6653c95fcc64ecfeab320dc05abf	143867	released
3fbae963-9d5a-439f-8337-8444aed9289d	nationwidechildrens.org_clinical_follow_up_v4.0_tgct.txt	2016780441db3fe40f5baf605d6f3724	70501	released
7cca5722-26cf-4ac8-a4a6-b803459f1861	nationwidechildrens.org_clinical_patient_thym.txt	a12604a19d2aee77c0fc8a5de15356ab	67824	released
6fe51ebd-ac22-470a-a8ac-0fe78c075354	nationwidechildrens.org_clinical_follow_up_v4.0_thym.txt	963065231b0f78dd9dfd28c17f1cd6a8	26006	released
2d041399-6315-4b3f-a3f8-dd6088c452f1	nationwidechildrens.org_clinical_patient_kich.txt	ad07a5a7b569c541f656f42a8abafdd9	65033	released
83b282bb-a9f4-48ed-aa23-beff2c8d0290	nationwidechildrens.org_clinical_follow_up_v4.4_kich.txt	9973a24a7712882bf757e5db1e1eca4f	39031	released
909f0719-b165-4beb-9fb3-f21aff071469	nationwidechildrens.org_clinical_patient_acc.txt	f2d9a09c083f560129a82f77e5f84e70	104816	released
6a22c17f-3963-4a6f-a03d-d4fd3fd6309e	nationwidechildrens.org_clinical_follow_up_v4.0_acc.txt	86a756df08352d308e68b2c03f24f6d4	18298	released
ddeb78fc-91e8-4e00-a89a-7c63f9bfc03d	nationwidechildrens.org_clinical_patient_meso.txt	8b3a387baf00f9c47d5457a3406edb49	68177	released
